_id,Month,In_Out,Australian_City,International_City,Airline,Route,Port_Country,Port_Region,Service_Country,Service_Region,Stops,All_Flights,Max_Seats,Year,Month_num
107767,Mar-22,O,Adelaide,Doha,Qatar Airways,ADL-DOH,Qatar,Middle East,Qatar,Middle East,0,12,3396,2022,3
107768,Mar-22,O,Adelaide,Kuala Lumpur,Malaysia Airlines,ADL-KUL,Malaysia,SE Asia,Malaysia,SE Asia,0,2,580,2022,3
107769,Mar-22,O,Adelaide,New Delhi,Qantas Airways,MEL-ADL-DEL,India,S Asia,India,S Asia,0,18,4512,2022,3
107770,Mar-22,O,Adelaide,New Delhi,Qantas Airways,SYD-ADL-DEL,India,S Asia,India,S Asia,0,15,3757,2022,3
107771,Mar-22,O,Adelaide,Singapore,Singapore Airlines,ADL-SIN,Singapore,SE Asia,Singapore,SE Asia,0,20,6060,2022,3
107772,Mar-22,O,Brisbane,Auckland,Air New Zealand,BNE-AKL,New Zealand,New Zealand,New Zealand,New Zealand,0,23,6299,2022,3
107773,Mar-22,O,Brisbane,Christchurch,Air New Zealand,BNE-CHC,New Zealand,New Zealand,New Zealand,New Zealand,0,12,2424,2022,3
107774,Mar-22,O,Brisbane,Doha,Qatar Airways,BNE-DOH,Qatar,Middle East,Qatar,Middle East,0,31,10974,2022,3
107775,Mar-22,O,Brisbane,Dubai,Emirates,BNE-DXB,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,15834,2022,3
107776,Mar-22,O,Brisbane,Honiara,Solomon Airlines,BNE-HIR,Solomon Islands,Islands,Solomon Islands,Islands,0,4,544,2022,3
107777,Mar-22,O,Brisbane,Kuala Lumpur,Malaysia Airlines,BNE-KUL,Malaysia,SE Asia,Malaysia,SE Asia,0,2,580,2022,3
107778,Mar-22,O,Brisbane,Manila,Philippine Airlines,BNE-MNL,Philippines,SE Asia,Philippines,SE Asia,0,4,672,2022,3
107779,Mar-22,O,Brisbane,Nadi,Fiji Airways,BNE-NAN,Fiji,Islands,Fiji,Islands,0,13,2210,2022,3
107780,Mar-22,O,Brisbane,Nauru,Nauru Airlines,BNE-INU,Nauru,Islands,Nauru,Islands,0,5,640,2022,3
